Time #Deleted-#Scat #Deleted #Scattered
0 85626 0 0
1 85922 85922 0
2 86178 86178 0
3 86365 86504 139
4 86515 86776 261
5 86761 87213 452
6 86945 87568 623
7 86955 87761 806
8 87185 88177 992
9 87319 88508 1189
10 87248 88575 1327
11 87343 88809 1466
12 87347 88930 1583
13 87520 89173 1653
14 87432 89217 1785
15 87468 89277 1809
16 87586 89482 1896
17 87624 89498 1874
18 87628 89531 1903
19 87792 89760 1968
20 87787 89770 1983
21 87807 89794 1987
22 87882 89903 2021
23 87996 90023 2027
24 87943 90027 2084
25 87964 89908 1944
26 88024 90056 2032
27 88080 90110 2030
28 88168 90103 1935
29 88234 90200 1966
30 88164 90160 1996
31 88241 90202 1961
32 88350 90389 2039
33 88305 90294 1989
34 88377 90361 1984
35 88432 90414 1982
36 88437 90411 1974
37 88473 90399 1926
38 88546 90523 1977
39 88543 90439 1896
40 88442 90306 1864
41 88585 90406 1821
42 88628 90385 1757
43 88692 90506 1814
44 88695 90494 1799
45 88794 90461 1667
46 88690 90386 1696
47 88771 90470 1699
48 88727 90445 1718
49 88776 90431 1655
50 88775 90422 1647
51 88787 90380 1593
52 88833 90360 1527
53 88876 90460 1584
54 88883 90407 1524
55 88970 90431 1461
56 88931 90364 1433
57 88965 90452 1487
58 88956 90408 1452
59 88952 90328 1376
60 88963 90362 1399
61 89014 90427 1413
62 89023 90325 1302
63 89068 90435 1367
64 89060 90296 1236
65 89127 90349 1222
66 89113 90358 1245
67 89113 90326 1213
68 89178 90410 1232
69 89137 90307 1170
70 89172 90341 1169
71 89127 90274 1147
72 89188 90293 1105
73 89176 90292 1116
74 89204 90273 1069
75 89207 90305 1098
76 89211 90271 1060
77 89191 90249 1058
78 89222 90241 1019
79 89222 90182 960
80 89244 90254 1010
81 89306 90296 990
82 89332 90326 994
83 89266 90271 1005
84 89341 90277 936
85 89237 90149 912
86 89334 90338 1004
87 89321 90209 888
88 89334 90205 871
89 89335 90187 852
90 89358 90264 906
91 89335 90188 853
92 89360 90219 859
93 89368 90185 817
94 89365 90210 845
95 89453 90231 778
96 89432 90257 825
97 89434 90235 801
98 89432 90228 796
99 89349 90111 762
100 89372 90140 768
101 89414 90195 781
102 89431 90195 764
103 89445 90209 764
104 89481 90156 675
105 89451 90174 723
106 89475 90155 680
107 89458 90114 656
108 89505 90201 696
109 89485 90132 647
110 89512 90195 683
111 89519 90140 621
112 89506 90143 637
113 89487 90100 613
114 89492 90108 616
115 89505 90120 615
116 89565 90185 620
117 89551 90129 578
118 89573 90151 578
119 89543 90129 586
120 89550 90095 545
121 89561 90148 587
122 89543 90111 568
123 89559 90112 553
124 89575 90130 555
125 89601 90132 531
126 89561 90095 534
127 89553 90034 481
128 89639 90195 556
129 89581 90163 582
130 89627 90161 534
131 89623 90171 548
132 89609 90116 507
133 89590 90093 503
134 89625 90109 484
135 89607 90117 510
136 89576 90045 469
137 89650 90115 465
138 89615 90081 466
139 89608 90075 467
140 89633 90060 427
141 89623 90107 484
142 89677 90133 456
143 89625 90065 440
